,0
0,0
1,8
2,5
3,9
4,1
5,1
6,4
7,8
8,9
9,9
10,1
11,3
12,9
13,8
14,3
15,9
16,5
17,7
18,1
19,8
20,1
21,4
22,7
23,9
24,8
25,1
26,1
27,8
28,8
29,9
30,8
31,8
32,9
33,9
34,1
35,9
36,9
37,1
38,1
39,1
40,7
41,0
42,5
43,9
44,9
45,1
46,1
47,5
48,1
49,4
50,5
51,5
52,9
53,0
54,1
55,8
56,5
57,2
58,1
59,1
60,9
61,0
62,0
63,9
64,0
65,1
66,9
67,0
68,2
69,1
70,1
71,1
72,4
73,5
74,3
75,9
76,1
77,4
78,5
79,9
80,1
81,0
82,5
83,0
84,8
85,9
86,9
87,7
88,6
89,8
90,4
91,0
92,1
93,5
94,1
95,7
96,9
97,0
98,0
99,4
100,8
101,9
102,2
103,5
104,5
105,8
106,5
107,5
108,4
109,1
110,9
111,5
112,5
113,8
114,9
115,8
116,1
117,8
118,9
119,1
120,5
121,5
122,9
123,1
124,0
125,4
126,5
127,4
128,9
129,1
130,3
131,8
132,1
133,9
134,1
135,4
136,9
137,0
138,8
139,5
140,0
141,0
142,8
143,4
144,0
145,5
146,9
147,5
148,1
149,1
150,9
151,9
152,1
153,5
154,0
155,1
156,5
157,5
158,5
159,0
160,8
161,0
162,1
163,1
164,1
165,1
166,3
167,4
168,0
169,5
170,9
171,5
172,0
173,9
174,1
175,1
176,0
177,8
178,5
179,4
180,1
181,9
182,9
183,9
184,5
185,9
186,5
187,0
188,3
189,1
190,9
191,1
192,9
193,2
194,7
195,9
196,1
197,9
198,9
199,9
200,0
201,9
202,0
203,9
204,5
205,8
206,5
207,5
208,0
209,4
210,4
211,0
212,0
213,9
214,0
215,8
216,1
217,3
218,9
219,8
220,1
221,9
222,4
223,9
224,1
225,2
226,5
227,0
228,1
229,9
230,1
231,4
232,9
233,1
234,6
235,5
236,9
237,2
238,1
239,5
240,0
241,9
242,9
243,1
244,1
245,9
246,4
247,9
248,7
249,9
250,1
251,1
252,1
253,9
254,0
255,9
256,5
257,1
258,1
259,5
260,0
261,1
262,1
263,4
264,9
265,9
266,2
267,7
268,8
269,5
270,0
271,5
272,1
273,7
274,0
275,5
276,8
277,9
278,9
279,0
280,9
281,4
282,6
283,1
284,9
285,0
286,1
287,5
288,1
289,1
290,9
291,8
292,8
293,0
294,9
295,1
296,0
297,8
298,5
299,3
300,5
301,9
302,5
303,1
304,1
305,1
306,7
307,8
308,1
309,9
310,4
311,1
312,4
313,1
314,8
315,5
316,5
317,9
318,7
319,9
320,0
321,9
322,9
323,9
324,5
325,9
326,0
327,1
328,9
329,5
330,1
331,9
332,4
333,1
334,9
335,7
336,1
337,9
338,4
339,8
340,8
341,5
342,8
343,0
344,1
345,5
346,5
347,9
348,9
349,5
350,3
351,1
352,8
353,1
354,4
355,5
356,1
357,5
358,4
359,0
360,5
361,5
362,5
363,9
364,2
365,0
366,1
367,1
368,3
369,9
370,5
371,1
372,5
373,1
374,9
375,1
376,9
377,8
378,8
379,1
380,5
381,1
382,1
383,1
384,4
385,0
386,4
387,9
388,6
389,9
390,9
391,0
392,1
393,4
394,1
395,2
396,8
397,2
398,1
399,1
400,9
401,4
402,9
403,8
404,0
405,8
406,9
407,8
408,4
409,5
410,6
411,1
412,9
413,1
414,1
415,9
416,1
417,4
418,5
419,4
420,2
421,3
422,9
423,8
424,0
425,9
426,5
427,4
428,8
429,9
430,0
431,3
432,9
433,9
434,1
435,1
436,9
437,9
438,5
439,1
440,0
441,0
442,1
443,0
444,8
445,8
446,8
447,0
448,9
449,9
450,4
451,1
452,9
453,8
454,9
455,1
456,0
457,1
458,2
459,1
460,8
461,8
462,9
463,8
464,4
465,1
466,8
467,7
468,8
469,9
470,8
471,6
472,9
473,3
474,5
475,5
476,0
477,8
478,9
479,6
480,1
481,1
482,8
483,9
484,4
485,9
486,2
487,9
488,0
489,1
490,5
491,4
492,1
493,8
494,3
495,3
496,0
497,0
498,1
499,9
500,0
501,5
502,9
503,9
504,0
505,4
506,1
507,9
508,8
509,9
510,1
511,1
512,9
513,4
514,0
515,1
516,9
517,6
518,5
,precision,recall,f1-score,support
0,0.7419354838709677,0.8363636363636363,0.7863247863247863,55.0
1,0.9316239316239316,0.872,0.9008264462809916,125.0
2,0.46153846153846156,0.4,0.42857142857142855,15.0
3,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0
4,0.5365853658536586,0.44,0.4835164835164836,50.0
5,0.6111111111111112,0.8,0.6929133858267716,55.0
6,0.875,0.4666666666666667,0.608695652173913,15.0
7,0.9230769230769231,0.8,0.8571428571428571,15.0
8,0.7413793103448276,0.86,0.7962962962962963,50.0
9,0.775,0.75,0.7622950819672132,124.0
accuracy,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7514450867052023
macro avg,0.7130583920753215,0.6758363636363637,0.6849915751434075,519.0
weighted avg,0.756768822266206,0.7514450867052023,0.7493117215344047,519.0
